COUNTRY,SEX,YEAR,VALUE
"ARM","ALL","2015","2254.98"
"ARM","FEMALE","2015","1909.75"
"ARM","MALE","2015","2626.72"
"ARM","ALL","2016","2231.27"
"ARM","FEMALE","2016","1889.79"
"ARM","MALE","2016","2598.54"
"ARM","ALL","2017","2205.20"
"ARM","FEMALE","2017","1863.52"
"ARM","MALE","2017","2572.25"
"ARM","ALL","2018","2190.61"
"ARM","FEMALE","2018","1841.91"
"ARM","MALE","2018","2564.77"
"ARM","ALL","2019","2180.73"
"ARM","FEMALE","2019","1820.18"
"ARM","MALE","2019","2567.19"
"AUT","ALL","1990","1860.42"
"AUT","FEMALE","1990","1445.16"
"AUT","MALE","1990","2309.42"
"AUT","ALL","1991","1858.60"
"AUT","FEMALE","1991","1443.09"
"AUT","MALE","1991","2306.48"
"AUT","ALL","1992","1855.97"
"AUT","FEMALE","1992","1440.71"
"AUT","MALE","1992","2302.44"
"AUT","ALL","1993","1852.97"
"AUT","FEMALE","1993","1438.18"
"AUT","MALE","1993","2298.01"
"AUT","ALL","1994","1848.84"
"AUT","FEMALE","1994","1434.80"
"AUT","MALE","1994","2292.35"
"AUT","ALL","1995","1843.27"
"AUT","FEMALE","1995","1430.07"
"AUT","MALE","1995","2285.36"
"AUT","ALL","1996","1837.51"
"AUT","FEMALE","1996","1425.58"
"AUT","MALE","1996","2277.83"
"AUT","ALL","1997","1830.48"
"AUT","FEMALE","1997","1420.49"
"AUT","MALE","1997","2268.37"
"AUT","ALL","1998","1823.46"
"AUT","FEMALE","1998","1415.57"
"AUT","MALE","1998","2258.80"
"AUT","ALL","1999","1816.43"
"AUT","FEMALE","1999","1410.47"
"AUT","MALE","1999","2249.34"
"AUT","ALL","2000","1809.70"
"AUT","FEMALE","2000","1405.01"
"AUT","MALE","2000","2240.78"
"AUT","ALL","2001","1804.75"
"AUT","FEMALE","2001","1400.43"
"AUT","MALE","2001","2234.85"
"AUT","ALL","2002","1800.15"
"AUT","FEMALE","2002","1395.68"
"AUT","MALE","2002","2229.70"
"AUT","ALL","2003","1796.36"
"AUT","FEMALE","2003","1391.63"
"AUT","MALE","2003","2225.46"
"AUT","ALL","2004","1792.36"
"AUT","FEMALE","2004","1387.75"
"AUT","MALE","2004","2220.61"
"AUT","ALL","2005","1787.75"
"AUT","FEMALE","2005","1384.12"
"AUT","MALE","2005","2214.29"
"AUT","ALL","2006","1783.04"
"AUT","FEMALE","2006","1381.97"
"AUT","MALE","2006","2206.38"
"AUT","ALL","2007","1777.05"
"AUT","FEMALE","2007","1380.05"
"AUT","MALE","2007","2195.84"
"AUT","ALL","2008","1771.06"
"AUT","FEMALE","2008","1378.62"
"AUT","MALE","2008","2184.86"
"AUT","ALL","2009","1764.86"
"AUT","FEMALE","2009","1376.56"
"AUT","MALE","2009","2174.13"
"AUT","ALL","2010","1759.04"
"AUT","FEMALE","2010","1373.62"
"AUT","MALE","2010","2165.06"
"AUT","ALL","2011","1754.94"
"AUT","FEMALE","2011","1370.68"
"AUT","MALE","2011","2159.36"
"AUT","ALL","2012","1751.32"
"AUT","FEMALE","2012","1367.06"
"AUT","MALE","2012","2155.09"
"AUT","ALL","2013","1748.92"
"AUT","FEMALE","2013","1363.94"
"AUT","MALE","2013","2152.46"
"AUT","ALL","2014","1747.12"
"AUT","FEMALE","2014","1361.22"
"AUT","MALE","2014","2150.25"
"AUT","ALL","2015","1745.85"
"AUT","FEMALE","2015","1359.50"
"AUT","MALE","2015","2147.74"
"AUT","ALL","2016","1747.45"
"AUT","FEMALE","2016","1361.98"
"AUT","MALE","2016","2146.97"
"AUT","ALL","2017","1748.33"
"AUT","FEMALE","2017","1363.28"
"AUT","MALE","2017","2146.42"
"AUT","ALL","2018","1746.57"
"AUT","FEMALE","2018","1358.43"
"AUT","MALE","2018","2146.93"
"AUT","ALL","2019","1743.53"
"AUT","FEMALE","2019","1348.79"
"AUT","MALE","2019","2149.78"
"AZE","ALL","1990","1866.37"
"AZE","FEMALE","1990","1535.75"
"AZE","MALE","1990","2213.30"
"AZE","ALL","1991","1897.82"
"AZE","FEMALE","1991","1566.51"
"AZE","MALE","1991","2245.88"
"AZE","ALL","1992","1931.21"
"AZE","FEMALE","1992","1599.10"
"AZE","MALE","1992","2280.50"
"AZE","ALL","1993","1965.65"
"AZE","FEMALE","1993","1632.41"
